age_mth,age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,quant025,quant975,p_lipid,p_protein,mass,mass_sd,Ts,mean_masschange_perday,sd_masschange_perday,mean_P_perday,sd_P_perday
0,0,982.8522387960112,27.09845226208568,N/A,16981.262284716377,821.2317852245876,15470.355931039936,15470.355931039936,0.3638437549257651,0.126,983.0272202971554,26.76769846202571,0,Inf,Inf,Inf,Inf
1,0.08493150684931507,515.1630832292093,10.503952755131024,N/A,8724.966212320222,395.5805323055546,8014.290778545941,8014.290778545941,0.389844728987664,0.1116,1498.2581301831517,37.14344381048241,31,16.618163975135783,0.33883718564938786,281.45052297807166,12.760662332437244
2,0.16164383561643836,505.4538666478941,16.273871923389112,N/A,8387.981322672738,439.8055743981537,7571.593397270237,7571.593397270237,0.37215658629778775,0.0972,2003.817081302699,53.21868280353693,28,18.05192380885336,0.5812097115496112,299.57076152402635,15.707341942791203
3,0.2465753424657534,576.5720468383719,17.546305041355804,N/A,9568.192041577813,491.4354217130582,8660.598978528493,8660.598978528493,0.3872585505573079,0.0972,2580.5024290324272,70.55082406117141,31,18.59909828510877,0.5660098400437357,308.65135617992945,15.852755539130909
4,0.3287671232876712,553.7534261279592,12.326696171691362,N/A,9189.553982856307,431.4327678156664,8408.88611109483,8408.88611109483,0.3358296154579148,0.0972,3134.335451728464,82.727065086512,30,18.45844753759864,0.41088987238971203,306.3184660952102,14.381092260522214
5,0.4136986301369863,551.4790836637164,8.25885150222427,N/A,9151.843267931978,402.0552258656902,8449.345827981102,8449.345827981102,0.374594971141778,0.0972,3685.867864867222,90.88511206705834,31,17.789647860119885,0.26641456458787965,295.2207505784509,12.969523415022264
6,0.4958904109589041,503.1195866232376,1.593523176473138,N/A,8349.360635416675,345.3705253418867,7780.722331074462,7780.722331074462,0.38361242206301543,0.0972,4188.997741269183,92.45918528229367,30,16.77065288744125,0.053117439215771264,278.31202118055586,11.512350844729557
7,0.5808219178082191,481.7818754856501,1.0573806091308915,N/A,7995.261195476052,330.1815530394237,7451.852918224961,7451.852918224961,0.3695506146736443,0.0972,4670.772788983104,91.41471067425825,31,15.541350822117746,0.03410905190744811,257.91165146696943,10.65101783998141
8,0.6657534246575343,439.7956278592402,0.9992117801300556,N/A,7345.395347118066,301.44654820928184,6849.200544696479,6849.200544696479,0.33964045559987427,0.1017,5110.561964681329,90.42769490776566,31,14.186955737394845,0.032232638068711475,236.94823700380857,9.724082200299414
9,0.7479452054794521,384.8838120104955,3.058096597282268,N/A,6469.297136505975,268.5455219299799,6017.865236686881,6017.865236686881,0.3634384852834046,0.1062,5495.465523588366,93.44846549614088,30,12.82946040034985,0.10193655324274227,215.6432378835325,8.951517397665997
10,0.8328767123287671,306.4983544950561,119.65294557874014,N/A,5150.806919150585,2023.0871263030576,1143.1217696493468,1143.1217696493468,0.352510154703632,0.1062,5802.736507155783,211.64097097093057,31,9.887043693388907,3.859772438023876,166.15506190808338,65.26087504203412
11,0.915068493150685,132.87280543946233,4.549020688438413,N/A,2233.356415401705,119.07035864570511,2011.3783436239385,2011.3783436239385,0.3880832600221038,0.1062,5935.579938428002,207.14747396571585,30,4.429093514648744,0.1516340229479471,74.44521384672349,3.969011954856837
12,1,137.30885147859578,5.0987938398459205,N/A,2307.915254470253,127.4672156197514,2069.2386785627928,2069.2386785627928,0.3612113999342546,0.1062,6072.85586571626,202.1109141391612,31,4.429317789632122,0.164477220640191,74.44887917645977,4.111845665153271
0,0,982.7539633996712,28.82434519118064,Female,16979.549717581453,838.6501161624249,15429.447299488036,15429.447299488036,0.35541529448702935,0.126,983.0272202971554,26.76769846202571,0,Inf,Inf,Inf,Inf
1,0.08493150684931507,529.7861512844789,11.763636097605604,Female,8972.61925398612,414.4562911649317,8219.424807213001,8219.424807213001,0.3478398668160662,0.1116,1498.2581301831517,37.14344381048241,31,17.089875847886418,0.3794721321808259,289.43933077374584,13.369557779513926
2,0.16164383561643836,519.8024408998677,17.082674835957963,Female,8626.092417609645,455.8691197143162,7779.740960479333,7779.740960479333,0.35557090593036267,0.0972,2003.817081302699,53.21868280353693,28,18.564372889280992,0.6100955298556415,308.07472920034445,16.281039989797005
3,0.2465753424657534,592.9393079171336,18.519557599837068,Female,9839.80234838569,510.1278221358577,8896.327091722002,8896.327091722002,0.35467608089558783,0.0972,2580.5024290324272,70.55082406117141,31,19.127074448939794,0.5974050838657119,317.41297898018354,16.455736197930893
4,0.3287671232876712,569.4721076072642,13.57674103783694,Female,9450.398768161018,451.0159441943205,8629.86199636389,8629.86199636389,0.35851396088954063,0.0972,3134.335451728464,82.727065086512,30,18.982403586908806,0.4525580345945647,315.01329227203394,15.03386480647735
5,0.4136986301369863,567.13247613945,10.01608887005658,Female,9411.600520586528,422.8614461547717,8663.30118362383,8663.30118362383,0.3642903940100223,0.0972,3685.867864867222,90.88511206705834,31,18.294596004498388,0.32309964096956706,303.6000167931138,13.640691811444249
6,0.4958904109589041,517.399243907974,5.409310654673127,Female,8586.304038772192,365.6211222175368,7962.615334471964,7962.615334471964,0.3803055108804256,0.0972,4188.997741269183,92.45918528229367,30,17.246641463599133,0.1803103551557709,286.2101346257397,12.18737074058456
7,0.5808219178082191,495.4554563735562,5.060679928527397,Female,8222.145139339438,349.62483971676954,7625.527165848991,7625.527165848991,0.38354006996378304,0.0972,4670.772788983104,91.41471067425825,31,15.98243407656633,0.163247739629916,265.23048836578835,11.278220636024823
8,0.6657534246575343,452.2775930736421,4.625547453305787,Female,7553.838126565555,319.3010677638615,7008.890781612834,7008.890781612834,0.354452029815875,0.1017,5110.561964681329,90.42769490776566,31,14.5895997765691,0.1492112081711544,243.67219763114696,10.300034443995532
9,0.7479452054794521,395.8080490844034,4.995981274521447,Female,6652.901492262959,283.91339468284895,6162.252777021557,6162.252777021557,0.3516357841109857,0.1062,5495.465523588366,93.44846549614088,30,13.19360163614678,0.16653270915071489,221.763383075432,9.463779822761632
10,0.8328767123287671,315.21934238010715,119.68826415442072,Female,5297.393412223066,2024.3329929799004,1286.9939338117458,1286.9939338117458,0.3746192805329338,0.1062,5802.736507155783,211.64097097093057,31,10.168365883229264,3.8609117469167975,170.88365845880858,65.3010642896742
11,0.915068493150685,136.6431967319345,4.746990263913189,Female,2296.729452125156,123.20004411261522,2067.1421745038133,2067.1421745038133,0.3462560582812876,0.1062,5935.579938428002,207.14747396571585,30,4.554773224397817,0.1582330087971063,76.55764840417187,4.106668137087174
12,1,141.2050520238841,5.287820069485789,Female,2373.4030295146517,131.58909427084467,2126.875402031328,2126.875402031328,0.3472503490839154,0.1062,6072.85586571626,202.1109141391612,31,4.555001678189809,0.17057484095115447,76.56138804885974,4.244809492607892
0,0,982.7539633996712,28.82434519118064,Male,16979.549717581453,838.6501161624249,15429.447299488036,15429.447299488036,0.3662723107589409,0.126,983.0272202971554,26.76769846202571,0,Inf,Inf,Inf,Inf
1,0.08493150684931507,506.906318388767,11.662390435881894,Male,8585.116108593795,399.9433213532412,7858.177761277977,7858.177761277977,0.33984408653341236,0.1116,1498.2581301831517,37.14344381048241,31,16.351816722218288,0.37620614309296435,276.93922930947724,12.901397463007779
2,0.16164383561643836,497.3521101867779,17.0157201274228,Male,8253.525081405163,443.23008202716323,7428.36651958022,7428.36651958022,0.37972135027404874,0.0972,2003.817081302699,53.21868280353693,28,17.762575363813497,0.6077042902651,294.76875290732727,15.8296457866844
3,0.2465753424657534,567.3304709155233,18.43918825831347,Male,9414.819055663367,495.42565943222286,8495.36942667083,8495.36942667083,0.3629998069955036,0.0972,2580.5024290324272,70.55082406117141,31,18.300982932758817,0.594812524461725,303.7038405052699,15.981472884910415
4,0.3287671232876712,544.8780726449277,13.47548157652301,Male,9042.256491410362,435.64810233149154,8246.698588913723,8246.698588913723,0.37958027886226775,0.0972,3134.335451728464,82.727065086512,30,18.16260242149759,0.44918271921743363,301.4085497136787,14.521603411049718
5,0.4136986301369863,542.6406042290948,9.879562191144514,Male,9005.15394224971,406.57762957586226,8283.132369293668,8283.132369293668,0.34168449946213514,0.0972,3685.867864867222,90.88511206705834,31,17.50453562029338,0.3186955545530488,290.48883684676485,13.115407405672975
6,0.4958904109589041,495.0567809927256,5.196205878946059,Male,8215.527957429245,349.91796346788243,7618.700748415958,7618.700748415958,0.36955835538916293,0.0972,4188.997741269183,92.45918528229367,30,16.50189269975752,0.1732068626315353,273.8509319143082,11.663932115596081
7,0.5808219178082191,474.0612962532774,4.851655361057772,Male,7867.106305986394,334.56639723639006,7296.0200849850835,7296.0200849850835,0.33113001490943134,0.0972,4670.772788983104,91.41471067425825,31,15.292299879137982,0.1565050116470249,253.77762277375464,10.792464426980324
8,0.6657534246575343,432.7478974434924,4.4350523341800185,Male,7227.657490222897,305.5514916349923,6706.209702913472,6706.209702913472,0.3603066720580682,0.1017,5110.561964681329,90.42769490776566,31,13.959609594951367,0.1430662043283877,233.15024162009345,9.856499730161042
9,0.7479452054794521,378.71565625667824,4.8619345181176366,Male,6365.604988655516,272.06859845193406,5894.741830754407,5894.741830754407,0.3805753274029121,0.1062,5495.465523588366,93.44846549614088,30,12.623855208555941,0.16206448393725456,212.18683295518386,9.068953281731135
10,0.8328767123287671,301.57437538991013,119.68475739327693,Male,5068.041926552621,2023.2565702667935,1061.0225405127126,1061.0225405127126,0.3439226309861988,0.1062,5802.736507155783,211.64097097093057,31,9.728205657739036,3.8607986255895783,163.4852234371813,65.26634097634818
11,0.915068493150685,130.74402521391704,4.7304591976697745,Male,2197.573324633801,119.96779768383803,1973.5389200071083,1973.5389200071083,0.3655328884022311,0.1062,5935.579938428002,207.14747396571585,30,4.358134173797235,0.15768197325565916,73.25244415446004,3.9989265894612678
12,1,135.10904687998794,5.271982772094292,Male,2270.938417135221,128.3594592004528,2030.4819308892932,2030.4819308892932,0.3722536419751123,0.1062,6072.85586571626,202.1109141391612,31,4.358356350967353,0.17006396039013846,73.2560779721039,4.140627716143638
